Year,MasterGameID,GameName,EligiblePercentStandardGame,EligiblePercentCounterPick,DateAdjustedHypeFactor,AverageDraftPosition,TotalBidAmount,BidPercentile,CriticScore
2020,3fabbe9d-e02d-4243-9276-e8b4468c97fa,"Super Mega Baseball 3 ",0.0249,0,2.5149,,142,86.9,81.5385
2020,406580a1-6bae-4985-a8ce-40fb820d1d33,Moving Out,0.0514,0,3.38778,37.2,168,88.1,77.4468
2020,4072a95a-f44e-4746-8ad8-acf021adecc2,Skully,0.001,0,0.101,,10,69.2,63.4000
2020,410e82ab-25af-43e7-82dd-8e0f361bbf4e,Call of Duty: Modern Warfare 2 Remastered,0.0667,0,7.4235,,34,77.4,73.3793
2020,4158f836-f257-4189-84e9-a17f7004b2f7,Dark Crystal: Age of Resistance Tactics,0.0444,0.0131,4.10013588,29.6667,68,81.6,62.2895
2020,41a159de-4a14-41e5-afb8-72cdad4873ed,Othercide,0.0091,0,0.9292,,77,82.6,76.4643
2020,41ce3291-6ad6-40a8-a7c0-eb8d36fc19f4,XCOM: Chimera Squad,0.0877,0,5.7984,37,929,97.6,78.7200
2020,437bb39c-223e-4001-91ae-a932745befd5,Totally Reliable Delivery Service,0.001,0,0.1111,,0,61.3,50.4545
2020,449e518e-17bc-4075-b574-5dd357d14b6d,Death Come True,0.0091,0.001,0.63664,31.8,5,66.5,76.2500
2020,44a1d17a-b959-497e-98f8-b68a020d701a,Before We Leave,0.004,0.001,0.2747,34,23,74.8,77.4000
2020,46168637-7ae3-4abc-8ae9-cac86696fbdc,Trials of Mana,0.6251,0.098,48.35890122,26.4092,1048,98.1,75.2833
2020,47885fc6-6b65-4fa0-993b-278e41ded92c,Risk of Rain 2,0,0,4.5132125,27.375,5,66.5,86.5000
2020,4af615d0-1eea-4c7f-a9b4-78f9a4a9aeb8,Zombie Army 4,0.0222,0.006,2.052,24.5714,58,80.9,74.5652
2020,4b3715be-6c28-4bdb-a73a-2eb6fb2a5f04,"Valorant ",0.7257,0,62.57416,16.6,1485,98.9,81.0000
2020,4bc9604b-5ce8-4b20-9e64-505822cbfef8,In Other Waters,0.006,0,0.6363,,24,75,78.7500
2020,4bcf3efa-67e3-46b7-9dde-a67653aba3d0,Cooking Mama Cookstar,0.0121,0.001,1.0375,18,52,80.1,45.8333
2020,4d1c5a5b-6603-4568-af05-17299d241604,The Division 2: Warlords of New York,0.0093,0,1.515,,4,65.2,76.7941
2020,50750e8a-60cd-4f52-8122-a97d756e06ac,Warcraft III: Reforged,0.3684,0.0364,39.165034770000005,25.2817,150,87.5,59.8462
2020,5162a07f-4434-40d4-b483-e8f30c4357cd,A Fold Apart,0.002,0.001,0.13649999999999998,36,1,63.1,78.2500
2020,528edbc6-107d-48af-acf6-12276b9d4674,Horizon Forbidden West,0.2188,0.12,16.40849028,26.0069,1432,98.8,70
2020,544c34ea-93a8-44c2-b068-418babff5285,Murder By Numbers,0.0363,0.001,2.2935106800000002,41.8889,149,87.4,80.3182
2020,562dec82-d4d6-46be-9482-5cca8b871c72,Twin Breaker: A Sacred Symbols Adventure,0.0091,0.001,0.8644999999999999,10,18,72.4,67.8000
2020,56ae1f5b-9f75-45d5-815e-a75e4e426054,Iron Danger,0.002,0,0.21209999999999998,,1,63.1,72.2667
2020,5774d3d2-9639-4c20-aa70-4445af33939e,Final Fantasy 7 Remake,0.9564,0.072,95.16853703000001,5.2236,23,74.8,88.0874
2020,588db2e2-6717-4dac-818c-31f959bf4bb5,The Pedestrian,0.002,0,0.2525,,1,63.1,77.5000
2020,5a44a14c-d4fc-4e37-b78a-c76e0af17b78,AO Tennis 2,0.0028,0,0.8282,,0,61.3,68.6833
2020,5a5f3cc9-31a0-4b70-a735-87bb29b15be8,One Step From Eden,0.0292,0.002,1.9036499999999998,36.25,197,89,76.8182
2020,61622686-24ec-4bf2-9393-5ce38940799c,Space Channel 5 VR - Kinda Funky News Flash!,0.002,0,0.2222,,0,61.3,55.6250
